VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit OMOP ID,Visit Concept Name,Visit Concept Code
ima,Acute Myocardial Infarction,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:57054005,Acute myocardial infarction,312327,,,,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
portata,High cardiac output episodes,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:27545003,Increased cardiac output,4099894,,,,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
anemia,Anemia (if High cardiac output episodes=Yes),STR,,F=No|T=Yes,,5259,5730,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:27545003,Increased cardiac output,4099894,Anemia,SNOMED:271737000,439777,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
febbre,Fever (if High cardiac output episodes=Yes),STR,,F=No|T=Yes,,5259,5730,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:27545003,Increased cardiac output,4099894,Fever,SNOMED:386661006,437663,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
altro,Other (if High cardiac output episodes=Yes),STR,,F=No|T=Yes,,5259,5730,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:27545003,Increased cardiac output,4099894,Other,snomed:74964007,9177,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
descal,Other High cardiac output episodes – types,STR,,,,22,10967,,,,,,,snomed:27545003,Increased cardiac output,4099894,Type|Other,Snomed:50849002|snomed:74964007,4176269|9177,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
alcool,Alcohol consumption,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:219006,Current drinker,4074035,,,,,,,Condition_occurrence,event date,4208903,Date of event,SNOMED:439771001
tera48,Concomitant pharmacological treatment in the previous 48 h,INT,,2= No| 3=Yes,1,5259,5730,2,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:716151000000103,Treatment,44803699,48 hours,snomed:255249005,4112239,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
caanta,Calcium channel blockers (if Concomitant pharmacological treatment in the previous 48 h=Yes),INT,,2= No| 3=Yes,1,5259,5730,1,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,21601745,,,,,,,Drug_Exposure,event date,4208903,Date of event,SNOMED:439771001
antiari,Antiarrhytmics (if Concomitant pharmacological treatment in the previous 48 h=Yes),INT,,2= No| 3=Yes,1,5259,5730,1,3,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:C01B,"ANTIARRHYTHMICS, CLASS I AND III",21600248,,,,,,,Drug_Exposure,event date,4208903,Date of event,SNOMED:439771001
